CASE_UUID,FILE_UUID,FILE_NAME,EXPERIMENTAL_STRATEGY
009be09b-f9f6-43b7-8f45-4a648f8123ce,4385a0bb-72b5-4e96-afcc-d221b3ef2001,TCGA-67-3773-01A-01-BS1.2e8279d9-57a3-4343-8e8b-0fa7e500a531.svs,Tissue Slide
009be09b-f9f6-43b7-8f45-4a648f8123ce,f43be0bf-51f9-44d3-ba72-dce43f7a1f24,TCGA-67-3773-01Z-00-DX1.3E9DFC22-E962-4C18-BF5B-27EBEA089F5D.svs,Diagnostic Slide
00a2d166-78c9-4687-a195-3d6315c27574,1eab7934-10a1-4d44-abb5-ee7c969de28f,TCGA-AN-A0AM-01A-01-TSA.63a22828-01b7-4b90-976d-7c32ccb9889d.svs,Tissue Slide
00a2d166-78c9-4687-a195-3d6315c27574,2ef324e9-8032-4b1c-9552-60e892285f85,TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB.svs,Diagnostic Slide
00a2d166-78c9-4687-a195-3d6315c27574,af35bcd1-00e0-4400-8b0d-0abf457f950e,TCGA-AN-A0AM-01A-01-BSA.1736e9ff-6a00-45e7-8ab9-b81018eea03f.svs,Tissue Slide
00a2d166-78c9-4687-a195-3d6315c27574,e14858ca-8bb5-4d6d-906c-5d62722d90f8,fd6f4c9b-ee43-4939-8cfa-2e447aedbcf3.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00b11ca8-8540-4a3d-b602-ec754b00230b,16923b13-722b-4b2a-8364-20592da16f73,TCGA-LL-A440-01Z-00-DX1.6E031FD6-236C-49FA-B920-4CB120C59037.svs,Diagnostic Slide
00b11ca8-8540-4a3d-b602-ec754b00230b,e6f927ef-840f-438a-9559-863cc64f71e0,98447eef-e5af-4bfa-a215-7a1edd601c46.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00b11ca8-8540-4a3d-b602-ec754b00230b,2c9c1bbe-dc6e-44ca-848e-3eb33ed5f914,TCGA-LL-A440-01A-01-TSA.7F50766F-CBFA-40A8-8B9D-3F8CFE42210C.svs,Tissue Slide
00b16434-0b3a-4194-8714-74dccbebe06c,934ab23d-45ed-4123-9661-2df1eb9e31ef,TCGA-EJ-8468-01A-01-BS1.628354fd-d7ba-4ece-94f0-5c06260c2bc6.svs,Tissue Slide
00b16434-0b3a-4194-8714-74dccbebe06c,bf7041bb-931d-4b8e-9253-721ca09050db,6c9c0278-d063-47fd-885e-fa19346b2ec0.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00b16434-0b3a-4194-8714-74dccbebe06c,d986cfc5-8096-4aaf-b52d-f665e7ea996f,TCGA-EJ-8468-11A-01-TS1.a608635a-8b88-4193-8f84-f68de82e48de.svs,Tissue Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,14232aef-8aba-4fa0-94b9-468c7a7a7da8,TCGA-HT-7677-01Z-00-DX8.A45BF8C9-024C-4466-B63E-07D0B3F7F8AB.svs,Diagnostic Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,0d81ddae-cd4c-4b2d-9caf-a6c054c9bdab,TCGA-HT-7677-01Z-00-DX7.C2762524-C070-4F71-86BE-57CFD74BF67A.svs,Diagnostic Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,ace88284-1371-45d0-b6bd-36cfcc588d67,TCGA-HT-7677-01Z-00-DX4.9B04ABC5-09D2-4F3F-A0F7-7334C4CB06FC.svs,Diagnostic Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,8efc0d06-5858-4eb3-82e6-74e206b2a239,TCGA-HT-7677-01Z-00-DX2.206C6C4F-4C08-4EDD-A55D-81576B433F6F.svs,Diagnostic Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,3f35b2bd-7c3a-4760-a0f8-de8f9a00ebdb,TCGA-HT-7677-01Z-00-DX5.A36DB19E-18E7-46B1-96F7-5AE56BEA8258.svs,Diagnostic Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,d6dc948c-9559-4496-bbff-d8e7262a9722,TCGA-HT-7677-01A-01-BS1.13a6f4d2-2ffe-4f5c-a269-dde3fa71debf.svs,Tissue Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,e22a8d0e-a0b6-48fd-969f-aba24d3fe52f,TCGA-HT-7677-01Z-00-DX3.357F25D7-5314-4EE2-A7A0-CF28742EDB0E.svs,Diagnostic Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,a644408b-b6c7-4416-a893-5845a1141f7c,TCGA-HT-7677-01Z-00-DX6.E44148AE-9EA0-4AA6-8893-4C325F26B95E.svs,Diagnostic Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,4343dea0-04c5-4691-a49b-d94977552581,TCGA-HT-7677-01A-01-TS1.17a76a61-bf08-4a61-8c8b-badcd3acceec.svs,Tissue Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,64a4763e-cab7-4081-8c10-dd56679e91ea,TCGA-HT-7677-01Z-00-DX1.F77F6FA2-116E-417A-9BB8-279FF089A69E.svs,Diagnostic Slide
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,41ee2106-8de9-46ac-a189-a650ce5c5fdf,32479a05-9593-4627-8294-869e284f111e.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00b18ad6-ff70-41fe-8f4d-0763ac8f28b9,d2925e2f-d4e8-4e9a-a0e1-0c9f1fa3365c,TCGA-HT-7677-01Z-00-DX9.5C333BE4-EC49-4EC8-BC5D-590D22413768.svs,Diagnostic Slide
00bca18c-b3d4-45a3-8f19-034cc40449a4,ec5d1ec3-e890-4462-a478-6644df0e6b27,TCGA-C5-A2LV-01Z-00-DX1.B8C938D3-FCD8-43C9-8520-6645875FCD30.svs,Diagnostic Slide
00bca18c-b3d4-45a3-8f19-034cc40449a4,f32c25c6-c803-4f48-97ea-5c2be31a53f2,4a244036-9c9f-43d1-b0a7-b976f6b1078f.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00bca18c-b3d4-45a3-8f19-034cc40449a4,c5ba4a5a-3f62-45c2-86e8-4760981b0510,TCGA-C5-A2LV-01A-01-TS1.F88DF6D2-142E-44F0-959A-AD145751B047.svs,Tissue Slide
00d8e96f-f231-4475-9e9f-c1f8aec28e4e,8acd91ff-9835-4b62-99ce-64ed629593f6,TCGA-FD-A6TC-01A-02-TSB.AB15913F-56FE-4173-9CD9-C77F5DEE4B99.svs,Tissue Slide
00d8e96f-f231-4475-9e9f-c1f8aec28e4e,498e5e18-7443-4799-af81-6d829f819da6,8d6d462b-bf64-4d73-bcdc-cb1e20961a74.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00d8e96f-f231-4475-9e9f-c1f8aec28e4e,ad57dd81-a109-4dc2-898f-ca43d9d7ccbc,TCGA-FD-A6TC-01Z-00-DX1.AC96EA62-D56E-4565-88E0-EBAEB8087C4F.svs,Diagnostic Slide
00e41e6a-9fe7-44f9-978b-7b05b179506a,eb48f75e-8ae9-446a-a763-6c591924deb6,TCGA-G9-6342-11A-01-TS1.933d6d1b-1745-4e4c-8687-49c7abdace50.svs,Tissue Slide
00e41e6a-9fe7-44f9-978b-7b05b179506a,80d32492-e5f4-4cef-9441-b8043beb54dd,TCGA-G9-6342-01A-01-TS1.ab5b0d9a-0bf7-4305-9aef-420319ea42d4.svs,Tissue Slide
00e41e6a-9fe7-44f9-978b-7b05b179506a,3c068b3c-6de7-4be1-9fcf-3aaebf260652,0b9f0386-8654-4cfc-85af-da5eb0dbbcd0.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00e41e6a-9fe7-44f9-978b-7b05b179506a,f5930cdc-dff6-4a0c-a9b4-c92159863efb,e25f52c4-7269-481c-8362-ff0d8547ffcb.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00e41e6a-9fe7-44f9-978b-7b05b179506a,cfe0818a-1baf-407f-a43d-373725e3e581,TCGA-G9-6342-01Z-00-DX1.5ea9bcc5-b2ce-4aef-a89d-c02eb3fd8910.svs,Diagnostic Slide
00e41e6a-9fe7-44f9-978b-7b05b179506a,796d9772-ed67-4735-8d3a-e694c1510b00,TCGA-G9-6342-01A-01-BS1.5f4e5513-6cb0-4a36-81a6-a1345829224d.svs,Tissue Slide
00ee3098-1b32-4e7a-81ea-993773587c41,f6efc41d-8482-421d-ba7b-9f7d8614bb38,TCGA-D7-8575-01Z-00-DX1.11006AF4-D0CD-46DF-909A-29E345191C4C.svs,Diagnostic Slide
00ee3098-1b32-4e7a-81ea-993773587c41,073335b2-d228-4d64-8f61-2001e1a929d3,TCGA-D7-8575-01A-01-BS1.0f8909f6-fa12-4a4b-839c-653e0e92645d.svs,Tissue Slide
00ee3098-1b32-4e7a-81ea-993773587c41,d56bd89b-7c05-430c-beef-c0aa6c8aedde,TCGA-D7-8575-01A-01-TS1.184c05fd-3891-4134-91cf-ffa95dc50079.svs,Tissue Slide
00ee3098-1b32-4e7a-81ea-993773587c41,8e1ba728-e38a-4d58-941c-39463265c16b,fd3247c6-40c4-4d55-93c0-52610eda8612.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00ee3098-1b32-4e7a-81ea-993773587c41,ed9aa679-806c-488e-9c73-fa4112bcacf5,TCGA-D7-8575-01Z-00-DX2.7505FB70-2931-459B-B23A-4D24B080E383.svs,Diagnostic Slide
00f0f7dd-71de-4e4f-b4b5-df860324f2e8,12f60a5a-3e62-484e-b747-8f22bd54dc87,TCGA-EJ-A8FP-01A-02-TSB.370670DE-27CF-4530-B684-797AC0E49DC2.svs,Tissue Slide
00f0f7dd-71de-4e4f-b4b5-df860324f2e8,18558fbd-7b19-443b-85fe-13062861c228,d6ab40a9-8c37-4b1e-90d2-f431ef00ee68.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00f7f9d3-7a34-4a5b-9d19-38810dcabbba,5650e3a4-20cc-4b2f-bcc9-d3f3758e5fb1,cb7e1044-9796-497d-8f96-7ca249fbc62e.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00f7f9d3-7a34-4a5b-9d19-38810dcabbba,c6754722-a9ca-49c6-bd71-3188fd5068d6,TCGA-J4-A67N-01Z-00-DX1.3253614F-8B3D-4337-96C5-BF842DCAA35C.svs,Diagnostic Slide
00f7f9d3-7a34-4a5b-9d19-38810dcabbba,1e67507b-d832-4e69-bc0f-71596888f17e,TCGA-J4-A67N-01A-01-TS1.697C38C8-0FE4-4D58-BD35-2B3510BB63D2.svs,Tissue Slide
00fdf96d-c48a-47e0-b91d-576c52e6819c,e3fb76f3-0f93-4162-8fa9-d17268c79163,TCGA-HU-A4H4-11A-01-TS1.2905D5E7-95BB-47DD-931E-FF628453D3B6.svs,Tissue Slide
00fdf96d-c48a-47e0-b91d-576c52e6819c,7ca5701e-8e7e-4238-8225-7928a4c15e18,cb5d2e35-c924-4bab-a5bc-eb3ebea511a6.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00fdf96d-c48a-47e0-b91d-576c52e6819c,5faa582a-6b6b-47ef-9d01-84d1bbc4ae41,TCGA-HU-A4H4-01A-02-TS2.7EBB7D7B-2CC9-4F74-8260-4E832FF8FC18.svs,Tissue Slide
010a807f-9dc0-4e14-9533-dcf478f3d947,5da35908-e93b-4356-87ca-d283374f1fdb,TCGA-C5-A902-01Z-00-DX1.60DE8B66-8381-4218-8CA3-63CDB2EE358E.svs,Diagnostic Slide
010aac75-3bfe-4bf2-b866-af0f2d92f125,986da244-df0d-4013-b87b-6b1324c61eb9,TCGA-DB-5278-01Z-00-DX1.3B0317D3-8C14-4C70-B60B-2153E89056BF.svs,Diagnostic Slide
010aac75-3bfe-4bf2-b866-af0f2d92f125,b261f3a5-ae9f-4154-90cd-3f32c41f2d18,TCGA-DB-5278-01Z-00-DX2.39A970EE-DD46-4766-82BE-6B9DBFE57F3E.svs,Diagnostic Slide
010aac75-3bfe-4bf2-b866-af0f2d92f125,1479d34c-7226-4f50-a3bb-e646b5dd9a47,71cda463-409b-457c-b8d9-556bfb0bfc29.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
010aac75-3bfe-4bf2-b866-af0f2d92f125,fd7c24a5-9803-4d4b-b188-81a8b979e8c5,TCGA-DB-5278-01A-01-BS1.f5dfe5d2-5dfb-4041-9143-9a64513d3a17.svs,Tissue Slide
010aac75-3bfe-4bf2-b866-af0f2d92f125,d84d641a-a349-49ab-ae49-17be10f613f1,TCGA-DB-5278-01A-01-TS1.3a6bb869-51cd-4c12-829e-31d8652a4795.svs,Tissue Slide
0119eab6-00e7-4346-aa52-cbbeeba3621d,48ef5666-6ae7-415d-b760-3fe5f44cd39c,TCGA-AX-A05T-01A-01-BS1.6de3101f-6d2a-4a5a-b5c5-0e3ad9d70c70.svs,Tissue Slide
0119eab6-00e7-4346-aa52-cbbeeba3621d,7d51af3c-ec5a-4470-a1d1-ed755d65a0b3,TCGA-AX-A05T-01A-01-TS1.c0be94a0-c678-476f-8260-b5b260838036.svs,Tissue Slide
0119eab6-00e7-4346-aa52-cbbeeba3621d,2d948ab4-69d1-4fbd-8fe8-47a8b8984dda,TCGA-AX-A05T-01Z-00-DX2.F0515861-5D5D-4EE2-B885-FD80353A3AF0.svs,Diagnostic Slide
0119eab6-00e7-4346-aa52-cbbeeba3621d,c2029f61-30a0-49ce-addb-6eadeb16ca68,af1598cb-dea5-45dd-861b-8c0df85f8951.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
0119eab6-00e7-4346-aa52-cbbeeba3621d,971a7aaf-d348-4630-a9ea-2e8eb2a9ca8f,TCGA-AX-A05T-01Z-00-DX1.E1BE0BB7-D2D6-4E8B-9603-27C9B63BD4D6.svs,Diagnostic Slide
011ae7b8-5003-4fcd-9f20-906a723f2c66,04889252-6bf3-4e3f-9eb4-e51729f74bf6,TCGA-EL-A3CW-01Z-00-DX1.7D2D5FD8-0588-4556-9DC2-9FB06107F99C.svs,Diagnostic Slide
011ae7b8-5003-4fcd-9f20-906a723f2c66,4f832eb6-2214-4c7e-8813-4f34cf07f5b6,TCGA-EL-A3CW-01A-01-TSA.576072CB-F019-4B61-8056-408162460D22.svs,Tissue Slide
011b9b2d-ebe5-42bf-9662-d922faccc7a1,301cc43e-aa04-4707-9e65-2d00d73634ed,TCGA-A7-A26E-01B-03-BS3.73D008C5-F88B-4D9F-A333-296FAB5B0526.svs,Tissue Slide
011b9b2d-ebe5-42bf-9662-d922faccc7a1,504ff2c0-f5a4-4b05-8ed2-39e57b65af8c,TCGA-A7-A26E-01B-06-BS6.071B5BA3-05A2-46B2-A1D6-80E1F34B33C5.svs,Tissue Slide
011b9b2d-ebe5-42bf-9662-d922faccc7a1,a5c799bc-1332-4127-8fda-84da04084d25,de01516e-43f0-4f96-8ac6-ab543a314829.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
011b9b2d-ebe5-42bf-9662-d922faccc7a1,24ef3a73-0ea5-4a7b-8986-09b1e9000f8c,TCGA-A7-A26E-01B-05-BS5.AF4878FB-892F-4907-B59C-8AA0E7630A1A.svs,Tissue Slide
011b9b2d-ebe5-42bf-9662-d922faccc7a1,dab8b8a4-84ca-4d1c-873d-66007379f075,TCGA-A7-A26E-01Z-00-DX1.BA4A7E28-0563-4C23-82D0-AB34A2E79AE3.svs,Diagnostic Slide
011b9b2d-ebe5-42bf-9662-d922faccc7a1,2b519fff-dd2a-458e-ac2b-573167aeb7f2,a02fb212-a6cc-40b2-9d31-481fc1ce0911.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
011b9b2d-ebe5-42bf-9662-d922faccc7a1,89409cf3-e710-47fd-af3c-6f8f0dec7c90,e6bad6ec-c178-4684-99e8-2504781a022b.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
011b9b2d-ebe5-42bf-9662-d922faccc7a1,610cb397-38a8-486d-b21f-10c23d8e8a41,TCGA-A7-A26E-01B-04-BS4.8D984215-9CE2-4CE6-BE51-543B7043CDE9.svs,Tissue Slide
011b9b2d-ebe5-42bf-9662-d922faccc7a1,6725b74e-f568-4d61-a6b6-27dbc04eced5,TCGA-A7-A26E-01A-01-TSA.c3b5e8a1-130a-41b4-b05f-06f86abd3e21.svs,Tissue Slide
01240896-3f3f-4bf9-9799-55c87bfacf36,a83b7423-32c7-45e0-953d-91566c6eb432,TCGA-F4-6854-01Z-00-DX1.a4d18769-1632-41e4-b49d-4a88d36e21ab.svs,Diagnostic Slide
01240896-3f3f-4bf9-9799-55c87bfacf36,470a6a57-b224-4cb9-99d6-f38b3c52350f,d61597de-2e74-41f1-8196-1604fb2237be.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
01240896-3f3f-4bf9-9799-55c87bfacf36,a6fa48b6-a673-418a-b086-d5cd3e6e823d,TCGA-F4-6854-01A-01-BS1.3f102306-747a-485f-8f28-235c0d234b0d.svs,Tissue Slide
01240896-3f3f-4bf9-9799-55c87bfacf36,a6c749f0-77f0-4276-8de3-2f46d4e0e07a,TCGA-F4-6854-01A-01-TS1.7be0f38e-08fc-4bfb-ad12-24fa03e490f1.svs,Tissue Slide
01263518-5f7c-49dc-8d7e-84b0c03a6a63,a3119d3a-4666-4e42-a38f-14d6746a370c,TCGA-A8-A07W-01Z-00-DX1.5970CF33-D675-4AF4-800F-7182AA1A44A6.svs,Diagnostic Slide
01263518-5f7c-49dc-8d7e-84b0c03a6a63,7ccc5a5b-d3f1-46da-8540-d8fbb7c6c06e,TCGA-A8-A07W-01A-01-TSA.eae41004-b3f5-4528-9e95-cbda9ea764c1.svs,Tissue Slide
01263518-5f7c-49dc-8d7e-84b0c03a6a63,ca044f51-ce1a-433a-ae8d-8f90e382ba63,TCGA-A8-A07W-01A-01-BSA.0f13b36e-14b4-4e59-8800-2e8d86b08079.svs,Tissue Slide
01263518-5f7c-49dc-8d7e-84b0c03a6a63,aa89d193-05a1-4f7f-9291-b9cf646656de,e06580e9-0b4a-48f7-9522-d54229aefb2d.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
012921da-962c-462c-9c36-d0f21b23c028,a64fb136-5967-4826-9b32-e1f580e08ea3,c4150499-8f97-40ee-b1ed-96aa509ea67c.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
012921da-962c-462c-9c36-d0f21b23c028,f2d19cbe-d24a-4839-b293-7595e37d4618,TCGA-VQ-A925-01A-01-TS1.205C3106-CBAD-4EFA-9217-45EF88D95F59.svs,Tissue Slide
012921da-962c-462c-9c36-d0f21b23c028,08db7ebc-bbfa-4d7e-9e63-b88100d6693e,TCGA-VQ-A925-01Z-00-DX1.D9AB5ADD-B946-4994-A3F2-646888C69E0D.svs,Diagnostic Slide
012e99fe-e3e8-4bb0-bb74-5b0c9992187c,c6f002f7-b48e-48e8-8d5a-8567ec66589f,TCGA-BR-6710-01A-01-TS1.bf56939a-befe-4562-8b2c-871a7c05b61e.svs,Tissue Slide
